BrandName,Deatils,Sizes,MRP,SellPrice,Discount,Category
life,printed round neck polyester womens regular top - black,"Large,Medium,Small,X-Large,X-Small",1199,599,50% off,Westernwear
madame,floral print polyster womens dress - royal blue,"Large,Medium,Small,X-Large,XX-Large",2699,1619,40% off,Westernwear
and,solid cotton collar neck womens top - rose,"8,10,12,14,18",1799,899,50% off,Westernwear
fratini,printed viscose v-neck womens regular top - black,"Large,Medium,Small,XX-Large",899,449,50% off,Westernwear
adidas,striped regular fit blended womens sports tights - black,X-Small,1799,899,50% off,Westernwear
rare,checks cold shoulder polyester womens calf length jumpsuits - black,"Large,Medium,Small,X-Large",2099,839,60% off,Westernwear
zink london,floral viscose v neck womens dress - green,"Large,Medium,Small,X-Large,X-Small,XX-Large",2799,1679,40% off,Westernwear
life,regular fit regular length cotton lycra womens jeans - black,"26,28,30,32,34,36",1699,849,50% off,Westernwear
allen solly,womens solid formal shirt - light blue,"Large,Small,X-Large,XX-Large",1599,959,40% off,Westernwear
allen solly,solid polyester cotton round neck womens formal wear shirt - black,"Large,Medium,Small,X-Large",1599,959,40% off,Westernwear
zink london,solid regular fit cotton womens joggers - blue,X-Large,1899,1139,40% off,Westernwear
cover story,solid cotton spandex round neck womens t-shirt - pink,"Large,Medium,X-Large,X-Small",990,693,30% off,Westernwear
stop,solid regular neck cotton stretch womens formal shirt - black,"Large,Medium,Small,X-Large,XX-Large",999,499,50% off,Westernwear
fratini,printed viscose collar neck womens a-line dress - white,"Large,Medium,Small,X-Large,XX-Large",1599,799,50% off,Westernwear
faballey,solid crepe square neck womens dress - red,"Large,Medium,Small,X-Large,X-Small",1900,1520,20% off,Westernwear
rare,floral polyester v neck womens a-line dress - red,"Large,Medium,Small,X-Large",2099,944,55% off,Westernwear
zink london,solid cotton collar neck womens straight top - blue,"Large,Medium,Small,X-Large,X-Small,XX-Large",1599,959,40% off,Westernwear
fratini,embellished viscose blend round neck womens t-shirt - powder blue,"Large,Medium,Small,X-Large,XX-Large",999,499,50% off,Westernwear
stop,printed regular neck cotton womens formal shirt - sky blue,"Large,Medium,Small,X-Large,XX-Large",899,449,50% off,Westernwear
zink london,floral viscose tie up neck� womens top - green,"Large,Medium,Small,X-Large,X-Small,XX-Large",1799,1079,40% off,Westernwear
stop,solid viscose round neck womens regular top - off white,"Large,Medium,Small,X-Large,XX-Large",799,399,50% off,Westernwear
van heusen,solid polyester v neck womens top - red,"Medium,Small,X-Large,X-Small",1699,999,41% off,Westernwear
zink london,printed viscose blend square neck womens dress - mustard,"Large,Medium,Small,X-Large",3199,1919,40% off,Westernwear
life,printed cotton slub round neck womens regular top - blue,"Large,Medium,Small,X-Large,X-Small",899,449,50% off,Westernwear
rare,printed georgette off shoulder womens blouson top - navy,"Large,Medium,Small,X-Large",999,499,50% off,Westernwear
zink london,floral polyester round neck womens straight top - blue,"Large,Medium,Small,X-Large,X-Small",1399,839,40% off,Westernwear
life,checks cotton blend collar neck womens regular top - black,"Large,Medium,Small,X-Large,X-Small",1299,649,50% off,Westernwear
fratini,solid cotton round neck womens t-shirt - teal,"Large,Medium,Small,X-Large,XX-Large",799,399,50% off,Westernwear
